DES,HBA,HBD,T(K),P(kPa),w(H2O)%,experimental(g/g),DES_ratio
1:1,[Emim]Cl,DCDA,313.2,2.5,0.37,0.0461232,1.0
1:1,[Emim]Cl,DCDA,313.2,8.2,0.37,0.1114644,1.0
1:1,[Emim]Cl,DCDA,313.2,14.3,0.37,0.1627124,1.0
1:1,[Emim]Cl,DCDA,313.2,20.1,0.37,0.2158822,1.0
1:1,[Emim]Cl,DCDA,313.2,29.6,0.37,0.2869888,1.0
1:1,[Emim]Cl,DCDA,313.2,46.7,0.37,0.3824382,1.0
1:1,[Emim]Cl,DCDA,313.2,63.0,0.37,0.451623,1.0
1:1,[Emim]Cl,DCDA,313.2,82.1,0.37,0.5201672,1.0
1:1,[Emim]Cl,DCDA,313.2,102.8,0.37,0.5823054,1.0
1.5:1,[Emim]Cl,DCDA,313.2,1.6,0.45,0.0403578,1.5
1.5:1,[Emim]Cl,DCDA,313.2,4.8,0.45,0.108902,1.5
1.5:1,[Emim]Cl,DCDA,313.2,9.6,0.45,0.1703996,1.5
1.5:1,[Emim]Cl,DCDA,313.2,19.3,0.45,0.249834,1.5
1.5:1,[Emim]Cl,DCDA,313.2,31.6,0.45,0.323503,1.5
1.5:1,[Emim]Cl,DCDA,313.2,45.3,0.45,0.4054998,1.5
1.5:1,[Emim]Cl,DCDA,313.2,66.4,0.45,0.5067146,1.5
1.5:1,[Emim]Cl,DCDA,313.2,86.3,0.45,0.595758,1.5
1.5:1,[Emim]Cl,DCDA,313.2,102.0,0.45,0.650209,1.5
2:1,[Emim]Cl,DCDA,313.2,2.3,0.58,0.0819968,2.0
2:1,[Emim]Cl,DCDA,313.2,5.6,0.58,0.150541,2.0
2:1,[Emim]Cl,DCDA,313.2,10.2,0.58,0.2120386,2.0
2:1,[Emim]Cl,DCDA,313.2,16.4,0.58,0.2716144,2.0
2:1,[Emim]Cl,DCDA,313.2,26.8,0.58,0.3484864,2.0
2:1,[Emim]Cl,DCDA,313.2,51.2,0.58,0.4663568,2.0
2:1,[Emim]Cl,DCDA,313.2,73.4,0.58,0.5579626,2.0
2:1,[Emim]Cl,DCDA,313.2,102.4,0.58,0.6848014,2.0
3:1,[Emim]Cl,DCDA,313.2,1.7,0.56,0.0711066,3.0
3:1,[Emim]Cl,DCDA,313.2,4.3,0.56,0.1460568,3.0
3:1,[Emim]Cl,DCDA,313.2,8.1,0.56,0.2197258,3.0
3:1,[Emim]Cl,DCDA,313.2,13.7,0.56,0.2921136,3.0
3:1,[Emim]Cl,DCDA,313.2,20.8,0.56,0.3472052,3.0
3:1,[Emim]Cl,DCDA,313.2,34.0,0.56,0.4343268,3.0
3:1,[Emim]Cl,DCDA,313.2,50.3,0.56,0.5182454,3.0
3:1,[Emim]Cl,DCDA,313.2,73.3,0.56,0.6156166,3.0
3:1,[Emim]Cl,DCDA,313.2,102.3,0.56,0.7264404,3.0
3:1,[Emim]Cl,DCDA,298.2,0.6,0.56,0.080075,3.0
3:1,[Emim]Cl,DCDA,298.2,1.7,0.56,0.156947,3.0
3:1,[Emim]Cl,DCDA,298.2,4.8,0.56,0.272255,3.0
3:1,[Emim]Cl,DCDA,298.2,10.3,0.56,0.3785946,3.0
3:1,[Emim]Cl,DCDA,298.2,19.2,0.56,0.4874966,3.0
3:1,[Emim]Cl,DCDA,298.2,35.9,0.56,0.6265068,3.0
3:1,[Emim]Cl,DCDA,298.2,52.4,0.56,0.7565486,3.0
3:1,[Emim]Cl,DCDA,298.2,76.9,0.56,0.9077302,3.0
